hash,AMSAT,AMSAT_RGC,BreakID-Kissat,CaDiCaL,Cadical_ESA,IsaSAT,Kissat_MAB-DC,Kissat_MAB_Binary,Kissat_MAB_ESA,hCaD-bva,hCaD-pbva,hKis-bva,hKis-pbva,kissat-sc2024,vresult,nb_vars,nb_clauses,family,track,avg_time
19e2c3a0865c8c1b4543d11213bebe5f,174.835,187.927,79.0504,81.4473,76.1686,2167.99,109.022,117.617,153.736,38.3857,54.2632,49.72,121.163,39.8381,unsat,,,hamiltonian,main_2024 | submissions_2024,273.577
1a1c9d1dc1ae7fcff92e3c3499864b75,767.033,775.579,583.974,599.282,621.513,3739.57,434.878,494.042,472.572,662.165,801.636,877.807,1173.57,504.521,unsat,,,maxsat-optimum,main_2024 | submissions_2022,943.778
1a20d903db74ab566efc68a35e6b0ec5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.457268,unsat,,,miter,main_2024 | submissions_2024,9090.951
1afa2d7a3d817c3149da432eece66da8,18.3477,29.147,102.445,56.3708,37.3258,39.6724,8.7243,9.92014,14.4889,261.663,697.114,247.635,216.827,29.8329,sat,,,scheduling,main_2024 | submissions_2022,147.234
1b0f4ff7984b8d4cf2873200fb1680fb,2352.64,2755.49,3053.75,2256.82,2443.78,10000.0,1823.46,2128.18,1982.53,2340.11,2675.94,3155.18,10000.0,2162.7,unsat,,,maxsat-optimum,main_2024 | submissions_2022,3724.427
1b3c7ac17705be94daaddb5f5ae4816b,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2276.21,2222.93,1923.07,2944.19,3134.18,4551.63,2894.08,3193.31,unsat,,,rooks,anni_2022 | crafted_2014 | main_2024 | main_2025,4830.873
1e0da402100982e53001a64281149dd9,1242.59,1235.11,10000.0,1261.84,1298.38,57.4575,918.605,1004.94,1169.51,875.156,1117.82,1003.65,873.528,120.646,unsat,,,software-verification,main_2024 | submissions_2022,881.958
1e3c3e8d349759b8b482a6f2721762c4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,111.842,10000.0,10000.0,10000.0,sat,,,cryptography,anni_2022 | main_2018 | main_2024,9101.077
1e74212168124b696531fed471b480b1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,minimum-disagreement-parity,main_2024 | submissions_2022,10000.000
1ea68d0008f01c50a1e4fec77dd0775e,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,556.447,2996.22,1620.38,10000.0,10000.0,10000.0,1664.24,8.84216,unsat,,,reg-n,main_2024 | submissions_2024,6076.921
1f44da3598ccf8bcbe9a90fb1b2f1ebd,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,729.042,934.068,1758.76,929.691,10000.0,2778.92,1000.12,2.66987,unsat,,,reg-n,main_2024 | submissions_2024,4375.752
207b28c3cefc55b143259222cbfd4962,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,scheduling,main_2024 | submissions_2024,10000.000
210fe1c0ffefde5bcd03d59b1efa6984,1522.64,1622.96,2836.77,1121.46,1112.29,203.591,111.879,109.763,110.518,568.404,571.721,3404.44,10000.0,313.155,sat,,,miter,main_2024 | submissions_2024,1602.475
2115182958f6cfb5a172a24f989b86dd,1154.98,762.145,1115.48,1321.45,1169.73,10000.0,657.231,609.782,659.544,786.023,1181.25,984.654,541.823,1858.39,unsat,,,rooks,anni_2022 | crafted_2014 | main_2020 | main_2024,1797.262
22b4cf412c811872d6ba5078106aeb6c,73.4184,73.8123,164.633,182.228,41.4696,634.792,7.31138,63.1188,122.756,8.28592,3.17721,20.8527,214.327,125.861,sat,,,scheduling,main_2024 | submissions_2022,129.471
23daec2c71ce3c1e346e6042f3dc42eb,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown,,,minimum-disagreement-parity,main_2024 | submissions_2022,10000.000
24bdfb34654b1aa703fae31ea91e7c7f,10000.0,10000.0,0.233041,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat,,,tseitin-formulas,main_2024 | submissions_2024,10000.000
25447f441df2f134223d3e43319c99ad,2280.42,3026.11,10000.0,4026.51,3877.97,10000.0,10000.0,10000.0,10000.0,4221.55,10000.0,4715.82,10000.0,3802.26,unsat,,,miter,main_2024 | submissions_2024,7331.283
